address,group,roi,total_spent,total_sold,leftover_value,trade_count,yes_shares_bought,yes_shares_sold,yes_spent,yes_sold,yes_leftover_value,no_shares_bought,no_shares_sold,no_spent,no_sold,no_leftover_value
0x3b7b03427034fe97f88e22053595500c7105f74e,A,-1.0,9.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,10.0,0.0,9.0,0.0,0.0
0x3bf40a6cea107b826852e630990a95353eea77d1,B,-0.965,9.85,0.34475,0.0,2,0.0,0.0,0.0,0.0,0.0,49.25,49.25,9.85,0.34475,0.0
0x3c48abb33a81128a4008085a7c05af0fd1c856b8,A,8.090910657640565,4.699999,0.0,42.727271,1,42.727271,0.0,4.699999,0.0,42.727271,0.0,0.0,0.0,0.0,0.0
0x3ce96461e77d62b434acf9a40af96fcbd79a9c2d,B,-1.0,100.98,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,10735.57692,0.0,100.98,0.0,0.0
0x3e654a008a609b16d5e6c1b08baabfea8725b3a8,B,-1.0,200.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,18181.81818,0.0,200.0,0.0,0.0
0x3e7217167e636329c0b0de0758b501232b279938,B,0.0,99.0,99.0,0.0,3,0.0,0.0,0.0,0.0,0.0,9000.0,9000.0,99.0,99.0,0.0
0x3ec83a4704571cb3b910650c4999c29f471d0d44,B,0.05434158748260327,266.573,281.059,0.0,34,160.0,160.0,101.217,101.68,0.0,459.0,459.0,165.356,179.379,0.0
0x3efbe6342b290613e2e7c8585599cd5e1a42244b,A,0.24467479130282352,2322.819997,2891.1545,0.000995,10,4135.070995,4135.07,1858.8199969999998,2018.52678,0.000995,60915.628054,60915.62,464.0,872.62772,0.0
0x3efbf83d79cd9d95429e3fbf278292dcda3b458a,B,0.33690005350080243,0.199997,0.0,0.267376,1,0.267376,0.0,0.199997,0.0,0.267376,0.0,0.0,0.0,0.0,0.0
0x3f0c86cdcf9b118c2d67ba675debb6ae62639296,A,-0.002068252326783868,8.703,8.685,0.0,2,0.0,0.0,0.0,0.0,0.0,9.0,9.0,8.703,8.685,0.0
0x40563ab71cc89ffd3bf639b0c81e32943715ec44,B,0.9569565279503994,0.06999899999999999,0.0,0.136985,1,0.136985,0.0,0.06999899999999999,0.0,0.136985,0.0,0.0,0.0,0.0,0.0
0x4143b489bc3ff698f21ddf8c9bdc4ca5f918232a,B,0.0010064696152157708,26.919839,26.9446,0.002333,2,27.082333,27.08,26.919839,26.9446,0.002333,0.0,0.0,0.0,0.0,0.0
0x414ce81b0397a9cfe18c7b2d32d4300f8f275c7e,B,-0.7498045347928068,12.79,3.2,0.0,5,0.0,0.0,0.0,0.0,0.0,843.641023,400.0,12.79,3.2,0.0
0x415c3009ba582ee5d126ec7460fb2b64a0ba3c94,A,9.204081632653061,2.45,0.0,25.0,2,25.0,0.0,2.45,0.0,25.0,0.0,0.0,0.0,0.0,0.0
0x416e2d8a2f5948d4f0689dc1797262280107a47f,A,-0.08163830903951684,3.499999,3.2076,0.006665,4,29.166665,29.16,3.499999,3.2076,0.006665,0.0,0.0,0.0,0.0,0.0
0x41bb81fdc6dc952da515d88c5c46801e03442526,A,-0.02247191011235955,89.0,87.0,0.0,2,0.0,0.0,0.0,0.0,0.0,100.0,100.0,89.0,87.0,0.0
0x41e69e86a1a5ebb1cd631403f7a0f8d6274fcaee,B,0.013636090780202097,8367.245704,8480.383278,0.9589479999999998,801,7421.966319,7421.007371,5633.9468209999995,5691.276638,0.9589479999999998,7005.268392,7004.918925,2733.298883,2789.10664,0.0
0x420eac7602f52ba628bcd5fe834671510e23404a,A,3.0,18.71,0.0,74.84,1,74.84,0.0,18.71,0.0,74.84,0.0,0.0,0.0,0.0,0.0
0x436d90f052702950271627a3ff885957c062f5a2,A,-0.002068252326783868,8.703,8.685,0.0,2,0.0,0.0,0.0,0.0,0.0,9.0,9.0,8.703,8.685,0.0
